bench_id,lat,lon,score,reviews,positive_count,negative_count
1264,40.849505,-73.933441,0.0,5,3,3
1266,40.76225884,-73.99341977,0.0,0,0,0
1271,40.82285116,-73.93778807,0.0,0,0,0
1277,40.83967421,-73.93690979,0.0,0,0,0
1278,40.81459338,-73.94033077,3.333333333333333,15,8,3
1288,40.76581883,-73.9603931,-2.0,5,3,4
1294,40.76935684,-73.95809534,0.0,6,0,0
1308,40.71448854,-74.01050017,1.1111111111111112,9,2,1
1312,40.79822,-73.93966,0.0,3,0,0
1315,40.826649,-73.950072,-2.0,5,2,3
1321,40.84631639,-73.93577628,0.0,0,0,0
1322,40.73899414,-73.98329377,5.0,10,6,1
1323,40.763683,-73.9579251,-2.0,5,3,4
1324,40.744643,-73.982952,0.0,2,0,0
1326,40.817902,-73.960559,0.0,0,0,0
1328,40.755774,-73.987304,0.0,0,0,0
1330,40.7091913,-74.00559414,0.0,0,0,0
1331,40.80287444,-73.93401722,2.0,5,2,1
1342,40.750159,-73.988383,0.0,0,0,0
1343,40.740393,-73.982705,6.0,5,3,0
1350,40.779234,-73.95517916,0.0,0,0,0
1355,40.764525,-73.961643,-2.0,5,3,4
1356,40.740712,-74.004997,0.0,0,0,0
1357,40.7984,-73.94134,0.0,0,0,0
1359,40.81207885,-73.9425135,0.0,0,0,0
1360,40.766996,-73.962166,3.0,10,3,0
1368,40.71584635,-73.9961014,0.0,0,0,0
1369,40.848957,-73.933091,0.0,5,3,3
1373,40.810257,-73.962027,1.2903225806451613,31,6,2
1375,40.71576351,-73.98694901,4.0,5,3,1
1376,40.874394,-73.910284,0.0,0,0,0
1383,40.786263,-73.945471,0.0,1,0,0
1389,40.71193,-73.997157,4.0,5,4,2
1393,40.7133501,-74.00401694,0.0,5,0,0
1396,40.816306,-73.946843,0.0,0,0,0
1397,40.75996,-73.976307,3.5,20,7,0
1399,40.71358061,-73.98842029,2.5,8,3,1
1401,40.734292,-73.989278,6.0,5,3,0
1405,40.72434413,-73.98142367,0.0,0,0,0
1406,40.77991633,-73.97716605,0.0,0,0,0
1408,40.778492,-73.97814,0.0,0,0,0
1413,40.74053,-73.983126,6.0,5,3,0
1419,40.810526,-73.952954,0.0,0,0,0
1421,40.816766,-73.959433,0.0,0,0,0
1429,40.77914,-73.977678,0.0,0,0,0
1431,40.84699136,-73.93557265,0.0,5,3,3
